City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
1,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
9,Balykshi,KZ,80.6,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
15,Estelle,US,86.05,broken clouds,29.8458,-90.1067,Ohio
45,Narasannapeta,IN,86.09,few clouds,18.4167,84.05,G.lingaraju home
51,Butaritari,KI,82.24,light rain,3.0707,172.7902,Isles Sunset Lodge
57,Victoria,HK,80.33,moderate rain,22.2855,114.1577,Mini Hotel Central
68,Belmonte,BR,82.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
69,Tulagi,SB,81.34,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
73,Dok Kham Tai,TH,80.62,overcast clouds,19.1624,99.9934,VC Hotel Phayao
78,Iberia,US,82.98,broken clouds,29.9502,-91.7507,back to back rv park
80,Mucurapo,TT,88.02,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
81,Hambantota,LK,82.74,clear sky,6.1241,81.1185,Bungalow 63
82,Dillon,US,81.25,broken clouds,34.4166,-79.3712,Dillon Express Inn
100,Saquena,PE,87.82,scattered clouds,-4.6667,-73.5167,
118,San Rafael Del Sur,NI,86.97,few clouds,11.8485,-86.4384,Hospedaje El Chino
128,Kalmunai,LK,82.38,broken clouds,7.4167,81.8167,VS Villa
139,Hami,CN,83.23,scattered clouds,42.8,93.45,Laoyutang Resort
141,Kinshasa,CD,89.98,few clouds,-4.3246,15.3215,Flat Hotel Alhdeef
146,Saint George,US,89.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
149,Hithadhoo,MV,84.31,overcast clouds,-0.6,73.0833,Scoop Guest House
153,Garowe,SO,84.36,overcast clouds,8.4054,48.4845,Curubo Hotel
156,Santa Rosa,PH,86.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
161,Muli,MV,83.84,broken clouds,2.9167,73.5667,Medhufushi Island Resort
171,Ranong,TH,81.03,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
183,Amapa,BR,83.41,few clouds,1.0,-52.0,
188,Speightstown,BB,86.61,scattered clouds,13.25,-59.65,Legend Garden Condos
192,San Ignacio,BZ,82.54,few clouds,17.1561,-89.0714,Rainforest Haven Inn
202,Lisala,CD,80.65,broken clouds,2.15,21.5167,
208,Yenagoa,NG,83.91,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
211,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
216,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
220,Elmina,GH,81.77,overcast clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
221,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
242,Cabo San Lucas,MX,87.4,clear sky,22.8909,-109.9124,Tesoro Los Cabos
244,Fuente Palmera,ES,80.11,scattered clouds,37.7049,-5.0996,CASA RURAL ECUESTRE
245,Americo Brasiliense,BR,81.12,scattered clouds,-21.7244,-48.1017,Santuário da Fé
260,Coxim,BR,88.61,light rain,-18.5067,-54.76,Hotel Avenida
262,Bonthe,SL,83.97,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
265,Faya,SA,84.31,clear sky,18.3851,42.4509,مقبرة ال مجمل
267,Upata,VE,83.34,overcast clouds,8.0086,-62.3989,Posada Villa Nela
269,Sena Madureira,BR,89.35,overcast clouds,-9.0656,-68.6569,Hotel Central
273,Sabang,ID,83.64,overcast clouds,5.8933,95.3214,Hotel Citra
277,Suleja,NG,88.79,overcast clouds,9.1758,7.1808,Capy Motel
278,Constantine,DZ,83.61,broken clouds,36.365,6.6147,Grand Hotel Cirta
282,Chino Valley,US,81.82,clear sky,34.7575,-112.4538,Primrose Inn & Suites
297,Pahrump,US,89.31,scattered clouds,36.2083,-115.9839,Best Western Pahrump Oasis
303,Gizo,SB,81.18,moderate rain,-8.103,156.8419,Imagination Island
305,Nuevo Progreso,MX,85.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
306,Consolacion Del Sur,CU,87.46,clear sky,22.5047,-83.5136,Cuarto de alquiler
324,Trincomalee,LK,82.85,few clouds,8.5711,81.2335,Welcombe Hotel
327,Bandarbeyla,SO,80.19,overcast clouds,9.4942,50.8122,JABIR HOTEL
328,Bauchi,NG,89.33,light rain,10.5,10.0,
331,Laguna,US,89.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
356,Casambalangan,PH,80.37,overcast clouds,18.3765,122.1274,Villa Saturnina
359,Bara,NG,89.38,broken clouds,10.3744,10.7288,
366,Puerto Leguizamo,CO,82.87,broken clouds,-0.1934,-74.7819,la casona de juancho
376,Vallenar,CL,84.56,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
380,Kasongo-Lunda,CD,84.33,overcast clouds,-6.4667,16.8167,
384,Rincon,US,81.84,broken clouds,32.296,-81.2354,Days Inn Rincon
398,Selestat,FR,80.26,clear sky,48.2598,7.4565,Hotel Restaurant Au Parc Des Cigognes
400,Kelo,TD,88.97,overcast clouds,9.3086,15.8066,Plantation de Kelo
403,Robertsport,LR,81.93,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
407,Ridgecrest,US,88.68,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
408,Pochutla,MX,89.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
420,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
422,Cacu,BR,87.13,overcast clouds,-18.5567,-51.1308,Império Hotel
445,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
453,Road Town,VG,85.19,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
459,Lambarene,GA,82.42,light rain,-0.7001,10.2406,Le Refuge
460,Mitu,CO,82.62,light rain,1.1983,-70.1733,
463,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
467,Lodja,CD,84.02,overcast clouds,-3.4833,23.4333,
472,Tamiahua,MX,86.63,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
476,Dahanu,IN,85.06,moderate rain,19.9667,72.7333,Pearline Beach Villas
482,Duverge,DO,86.05,overcast clouds,18.3784,-71.5247,Hotel La Casona
495,Cuiaba,BR,82.33,few clouds,-15.5961,-56.0967,Getúllio Hotel
497,Mantua,IT,80.1,clear sky,45.1667,10.7833,Hotel la Favorita
498,Kavaratti,IN,83.8,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
499,Eyl,SO,80.83,scattered clouds,7.9803,49.8164,Amiin Hotel
503,Makat,KZ,86.05,overcast clouds,47.6469,53.3463,Umit
513,La Orilla,MX,86.59,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
519,Agua Prieta,MX,81.34,broken clouds,31.3,-109.5667,Hotel Real de Agua Prieta
