,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather
0,Bredasdorp,-34.5322,20.0403,61.92,72,28,3.98,ZA,2021-06-01 15:36:27,scattered clouds
1,Cockburn Town,21.4612,-71.1419,84.16,70,40,13.8,TC,2021-06-01 15:26:41,scattered clouds
2,Mount Isa,-20.7333,139.5,62.37,63,82,5.75,AU,2021-06-01 15:36:28,broken clouds
3,Vaitape,-16.5167,-151.75,79.29,74,70,15.03,PF,2021-06-01 15:31:09,broken clouds
4,Thompson,55.7435,-97.8558,50.16,62,75,4.61,CA,2021-06-01 15:36:28,broken clouds
5,Busselton,-33.65,115.3333,56.05,69,90,4.97,AU,2021-06-01 15:36:28,overcast clouds
6,Cherskiy,68.75,161.3,54.66,43,9,3.0,RU,2021-06-01 15:28:08,clear sky
7,Bluff,-46.6,168.3333,49.8,81,98,19.91,NZ,2021-06-01 15:36:29,overcast clouds
8,Fortuna,40.5982,-124.1573,59.94,83,56,3.87,US,2021-06-01 15:29:34,broken clouds
9,Balykshi,47.0667,51.8667,80.6,57,40,15.66,KZ,2021-06-01 15:36:29,scattered clouds
10,Havelock,34.8791,-76.9013,76.98,61,40,5.99,US,2021-06-01 15:24:27,scattered clouds
11,Xiangxiang,27.7333,112.5333,76.77,87,89,2.24,CN,2021-06-01 15:36:29,overcast clouds
12,Chokurdakh,70.6333,147.9167,54.16,50,8,7.34,RU,2021-06-01 15:36:30,clear sky
13,Jamestown,42.097,-79.2353,68.29,48,1,4.61,US,2021-06-01 15:33:55,haze
14,Vaini,-21.2,-175.2,71.76,94,90,5.75,TO,2021-06-01 15:36:30,moderate rain
15,Estelle,29.8458,-90.1067,86.05,68,75,9.22,US,2021-06-01 15:36:31,broken clouds
16,Provideniya,64.3833,-173.3,33.67,63,1,12.24,RU,2021-06-01 15:36:31,clear sky
17,Caracollo,-14.9165,-70.6603,53.91,37,50,1.12,PE,2021-06-01 15:36:31,scattered clouds
